"","City","Humidity","Weather Icon Code","ATM Pressure","Temperature","Wind Direction","Wind Speed","AQI(US EPA)","Main Pollutant(US)","AQI(CN MEP)","Main Pollutant(CN)","Latitude","Longitude"
"1","Seattle",45,"04d",1023,19,250,2.6,32,"o3",25,"o3",47.568236,-122.308628
"2","Spokane",26,"01d",1014,27,NA,2.6,10,"p2",4,"p2",47.6997,-117.4263
"3","Tacoma",52,"04d",1022,20,270,1.5,20,"p2",7,"p2",47.2656,-122.3858
"4","Vancouver",43,"03d",1022,21,330,5.1,5,"p2",2,"p2",45.64336,-122.58737
"5","Bellevue",43,"04d",1022,19,340,2.6,13,"p2",5,"p2",47.613,-122.2017
"6","Kent",43,"04d",1023,19,260,3.1,21,"p2",7,"p2",47.386101,-122.230202
"7","Spokane Valley",26,"01d",1014,27,NA,2.6,8,"p2",3,"p2",47.663963,-117.257652
"8","Yakima",24,"01d",1015,24,330,8.7,25,"p2",27,"p1",46.594952,-120.512283
"9","Bellingham",55,"01d",1022,18,180,4.6,7,"p2",2,"p2",48.762699,-122.440201
"10","Kennewick",21,"02d",1012,30,230,4.1,13,"p2",12,"p1",46.2183,-119.2015
"11","Marysville",55,"01d",1023,18,310,5.7,10,"p2",3,"p2",48.055,-122.175797
"12","Lacey",48,"04d",1022,20,250,3.1,12,"p2",4,"p2",47.029301,-122.821503
"13","Puyallup",46,"04d",1023,20,NA,1.5,13,"p2",4,"p2",47.140499,-122.299202
"14","Bremerton",52,"04d",1022,19,130,2.1,16,"p2",6,"p2",47.592675,-122.627397
"15","Lynnwood",59,"01d",1023,19,320,3.6,13,"p2",4,"p2",47.8064,-122.3167
"16","Issaquah",43,"04d",1022,19,340,2.6,35,"o3",28,"o3",47.552502,-122.064697
"17","Longview",56,"04d",1023,20,310,3.6,12,"p2",4,"p2",46.1394,-122.9619
"18","Mount Vernon",63,"01d",1023,17,210,6.2,28,"o3",22,"o3",48.410198,-122.337601
"19","Wenatchee",22,"01d",1014,25,290,9.8,16,"p2",5,"p2",47.43061,-120.34195
"20","Pullman",33,"01d",1016,26,260,5.7,16,"p2",6,"p2",46.7245,-117.1801
"21","Walla Walla",26,"01n",1007,19,279,1.26,10,"p2",3,"p2",46.0588,-118.3514
"22","Oak Harbor",63,"04n",1013,16,270,3.6,7,"p2",2,"p2",48.294399,-122.660004
"23","Moses Lake",19,"01n",1007,21,240,3.6,12,"p2",4,"p2",47.1303,-119.2726
"24","Ellensburg",17,"01n",1007,18,100,2.6,5,"p2",2,"p2",46.9936,-120.545
"25","Port Angeles",66,"03n",1013,15,300,5.7,15,"p2",5,"p2",48.115,-123.436434
"26","Anacortes",51,"01n",1011,15,300,4.1,5,"p2",2,"p2",48.465401,-122.559998
"27","Sunnyside",22,"01n",1007,21,170,4.1,16,"p2",6,"p2",46.32033,-119.9981
"28","Aberdeen",58,"01n",1013,15,290,7.7,8,"p2",3,"p2",46.9772,-123.8317
"29","Cheney",29,"01n",1008,17,130,1.5,38,"o3",29,"o3",47.416401,-117.5298
"30","Lake Forest Park",44,"01n",1012,16,310,3.6,11,"p2",4,"p2",47.755001,-122.280602
"31","Enumclaw",34,"01n",1011,17,323,0.94,33,"o3",26,"o3",47.141102,-121.937897
"32","Shelton",45,"03n",1010,17,250,3.6,15,"p2",5,"p2",47.213551,-123.100807
"33","Port Townsend",67,"03n",1013,14,260,5.7,17,"p2",6,"p2",48.129101,-122.7789
"34","Yelm",45,"03n",1011,17,320,3.1,33,"o3",26,"o3",46.952499,-122.5952
"35","Toppenish",22,"01n",1007,21,170,4.1,11,"p2",4,"p2",46.380199,-120.332603
"36","Chehalis",48,"02n",1011,18,310,3.1,11,"p2",4,"p2",46.664089,-122.967323
"37","Clarkston",38,"01d",1012,20,330,2.6,16,"p2",6,"p2",46.425598,-117.059799
"38","North Bend",42,"01n",1011,17,310,5.1,31,"o3",24,"o3",47.4902,-121.772697
"39","Airway Heights",29,"01n",1008,17,130,1.5,14,"p2",5,"p2",47.645351,-117.589027
"40","Colville",25,"04n",909,16,174,0.89,9,"p2",8,"p1",48.54469,-117.903222
